,game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary
107,717624,2023-06-25T17:35:00Z,2023-06-25,R,Scheduled,New York Mets,Philadelphia Phillies,121,143,N,1,,,,,0,0,,,2681,Citizens Bank Park,[],,,,,,,2023-06-25 - New York Mets @ Philadelphia Phillies (Scheduled)
108,717607,2023-06-26T23:10:00Z,2023-06-26,R,Scheduled,Milwaukee Brewers,New York Mets,158,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-06-26 - Milwaukee Brewers @ New York Mets (Scheduled)
109,717597,2023-06-27T23:10:00Z,2023-06-27,R,Scheduled,Milwaukee Brewers,New York Mets,158,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-06-27 - Milwaukee Brewers @ New York Mets (Scheduled)
110,717581,2023-06-28T23:10:00Z,2023-06-28,R,Scheduled,Milwaukee Brewers,New York Mets,158,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-06-28 - Milwaukee Brewers @ New York Mets (Scheduled)
111,717565,2023-06-29T23:10:00Z,2023-06-29,R,Scheduled,Milwaukee Brewers,New York Mets,158,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-06-29 - Milwaukee Brewers @ New York Mets (Scheduled)
112,717556,2023-06-30T23:10:00Z,2023-06-30,R,Scheduled,San Francisco Giants,New York Mets,137,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-06-30 - San Francisco Giants @ New York Mets (Scheduled)
113,717535,2023-07-01T20:10:00Z,2023-07-01,R,Scheduled,San Francisco Giants,New York Mets,137,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-07-01 - San Francisco Giants @ New York Mets (Scheduled)
114,717525,2023-07-02T17:40:00Z,2023-07-02,R,Scheduled,San Francisco Giants,New York Mets,137,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-07-02 - San Francisco Giants @ New York Mets (Scheduled)
115,717498,2023-07-04T20:10:00Z,2023-07-04,R,Scheduled,New York Mets,Arizona Diamondbacks,121,109,N,1,,,,,0,0,,,15,Chase Field,[],,,,,,,2023-07-04 - New York Mets @ Arizona Diamondbacks (Scheduled)
116,717477,2023-07-06T01:40:00Z,2023-07-05,R,Scheduled,New York Mets,Arizona Diamondbacks,121,109,N,1,,,,,0,0,,,15,Chase Field,[],,,,,,,2023-07-05 - New York Mets @ Arizona Diamondbacks (Scheduled)
117,717470,2023-07-07T01:40:00Z,2023-07-06,R,Scheduled,New York Mets,Arizona Diamondbacks,121,109,N,1,,,,,0,0,,,15,Chase Field,[],,,,,,,2023-07-06 - New York Mets @ Arizona Diamondbacks (Scheduled)
118,717454,2023-07-08T01:40:00Z,2023-07-07,R,Scheduled,New York Mets,San Diego Padres,121,135,N,1,,,,,0,0,,,2680,Petco Park,[],,,,,,,2023-07-07 - New York Mets @ San Diego Padres (Scheduled)
119,717436,2023-07-09T02:10:00Z,2023-07-08,R,Scheduled,New York Mets,San Diego Padres,121,135,N,1,,,,,0,0,,,2680,Petco Park,[],,,,,,,2023-07-08 - New York Mets @ San Diego Padres (Scheduled)
120,717423,2023-07-09T20:10:00Z,2023-07-09,R,Scheduled,New York Mets,San Diego Padres,121,135,N,1,,,,,0,0,,,2680,Petco Park,[],,,,,,,2023-07-09 - New York Mets @ San Diego Padres (Scheduled)
121,717413,2023-07-14T23:10:00Z,2023-07-14,R,Scheduled,Los Angeles Dodgers,New York Mets,119,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-07-14 - Los Angeles Dodgers @ New York Mets (Scheduled)
122,717400,2023-07-15T23:15:00Z,2023-07-15,R,Scheduled,Los Angeles Dodgers,New York Mets,119,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-07-15 - Los Angeles Dodgers @ New York Mets (Scheduled)
123,717385,2023-07-16T17:40:00Z,2023-07-16,R,Scheduled,Los Angeles Dodgers,New York Mets,119,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-07-16 - Los Angeles Dodgers @ New York Mets (Scheduled)
