,game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary
91,661382,2022-06-24T22:40:00Z,2022-06-24,R,Final,New York Mets,Miami Marlins,121,146,N,1,Sandy Alcantara,Taijuan Walker,,,5,3,9,Bottom,4169,loanDepot park,New York Mets,Miami Marlins,Taijuan Walker,Sandy Alcantara,Edwin Diaz,2022-06-24 - New York Mets (5) @ Miami Marlins (3) (Final)
92,661381,2022-06-25T20:10:00Z,2022-06-25,R,Final,New York Mets,Miami Marlins,121,146,N,1,Trevor Rogers,Chris Bassitt,,,5,3,9,Bottom,4169,loanDepot park,New York Mets,Miami Marlins,Chris Bassitt,Jimmy Yacabonis,Edwin Diaz,2022-06-25 - New York Mets (5) @ Miami Marlins (3) (Final)
93,661380,2022-06-26T16:05:00Z,2022-06-26,R,Final,New York Mets,Miami Marlins,121,146,N,1,Daniel Castano,David Peterson,,,2,3,9,Bottom,4169,loanDepot park,Miami Marlins,New York Mets,Tanner Scott,Adam Ottavino,,2022-06-26 - New York Mets (2) @ Miami Marlins (3) (Final)
94,662521,2022-06-28T23:10:00Z,2022-06-28,R,Final,Houston Astros,New York Mets,117,121,N,1,Carlos Carrasco,Framber Valdez,,,9,1,9,Bottom,3289,Citi Field,Houston Astros,New York Mets,Framber Valdez,Carlos Carrasco,,2022-06-28 - Houston Astros (9) @ New York Mets (1) (Final)
95,662440,2022-06-29T17:10:00Z,2022-06-29,R,Final,Houston Astros,New York Mets,117,121,N,1,Taijuan Walker,Justin Verlander,,,2,0,9,Bottom,3289,Citi Field,Houston Astros,New York Mets,Justin Verlander,Drew Smith,Ryan Pressly,2022-06-29 - Houston Astros (2) @ New York Mets (0) (Final)
96,662439,2022-07-01T23:10:00Z,2022-07-01,R,Final,Texas Rangers,New York Mets,140,121,N,1,David Peterson,Glenn Otto,,,3,4,9,Top,3289,Citi Field,New York Mets,Texas Rangers,David Peterson,Glenn Otto,Edwin Diaz,2022-07-01 - Texas Rangers (3) @ New York Mets (4) (Final)
97,662456,2022-07-02T20:10:00Z,2022-07-02,R,Final,Texas Rangers,New York Mets,140,121,N,1,Trevor Williams,Martin Perez,,,7,3,9,Bottom,3289,Citi Field,Texas Rangers,New York Mets,Martin Perez,Trevor Williams,,2022-07-02 - Texas Rangers (7) @ New York Mets (3) (Final)
98,662509,2022-07-03T17:40:00Z,2022-07-03,R,Final,Texas Rangers,New York Mets,140,121,N,1,Carlos Carrasco,Jon Gray,,,1,4,9,Top,3289,Citi Field,New York Mets,Texas Rangers,Carlos Carrasco,Jon Gray,Edwin Diaz,2022-07-03 - Texas Rangers (1) @ New York Mets (4) (Final)
99,663036,2022-07-04T22:40:00Z,2022-07-04,R,Final,New York Mets,Cincinnati Reds,121,113,N,1,Hunter Greene,Taijuan Walker,,,7,4,9,Bottom,2602,Great American Ball Park,New York Mets,Cincinnati Reds,Taijuan Walker,Hunter Greene,Seth Lugo,2022-07-04 - New York Mets (7) @ Cincinnati Reds (4) (Final)
100,663035,2022-07-05T22:40:00Z,2022-07-05,R,Final,New York Mets,Cincinnati Reds,121,113,N,1,Nick Lodolo,Max Scherzer,,,0,1,9,Bottom,2602,Great American Ball Park,Cincinnati Reds,New York Mets,Hunter Strickland,Seth Lugo,,2022-07-05 - New York Mets (0) @ Cincinnati Reds (1) (Final)
